tokenId,plotId,color,level,grade,grade type,grade value,age,owner
70041,132,9,2,33905546,2,351114,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70042,132,1,1,34264723,2,710291,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70043,133,2,2,17638235,1,861019,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70044,133,1,1,67323137,4,214273,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70045,133,10,1,16954093,1,176877,0,0x56f6bf6B793713C050Fd02147a45b563Bb4D8eFa
70046,134,1,1,51298123,3,966475,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70047,134,1,2,67539918,4,431054,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70048,134,1,1,34464917,2,910485,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70049,135,1,2,34256984,2,702552,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70050,135,1,1,67545590,4,436726,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70051,135,2,1,33628795,2,74363,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70052,136,10,2,33614704,2,60272,0,0x02E4f0ED407e86d7fb8B2e3f1A295b68F29b19E5
70053,136,2,1,67498634,4,389770,534085,0x02E4f0ED407e86d7fb8B2e3f1A295b68F29b19E5
70054,136,2,1,33858390,2,303958,0,0x02E4f0ED407e86d7fb8B2e3f1A295b68F29b19E5
70055,137,9,1,67278221,4,169357,534073,0xae17e79318Ee18d2b9CA78937E1581D0e0BC92cE
70056,137,10,2,17002236,1,225020,0,0xae17e79318Ee18d2b9CA78937E1581D0e0BC92cE
70057,137,9,1,17037103,1,259887,0,0xae17e79318Ee18d2b9CA78937E1581D0e0BC92cE
70058,138,9,1,17211292,1,434076,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70059,138,1,2,84564848,5,678768,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70060,138,2,1,17081688,1,304472,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70061,139,9,1,67756834,4,647970,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70062,139,10,2,34207679,2,653247,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70063,139,2,1,33820461,2,266029,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70064,140,1,2,67136352,4,27488,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70065,140,2,1,33646266,2,91834,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70066,140,1,1,33613936,2,59504,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70067,141,10,1,67165901,4,57037,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70068,141,9,2,34530620,2,976188,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70069,141,1,1,51151634,3,819986,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70070,142,10,1,67565294,4,456430,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70071,142,10,1,17675315,1,898099,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70072,142,2,2,17585465,1,808249,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70073,142,2,1,17316183,1,538967,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70074,143,9,2,67153492,4,44628,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70075,143,2,1,34171882,2,617450,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70076,143,10,1,17545505,1,768289,0,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
70077,144,1,2,67341352,4,232488,534065,0xAa4812EAd3c0E009995FdbcbbEE9211EeAeb42FB
